   // prameyādhyāyaḥ //	// prameya-aDyAyaH //
   // prathamamāhnikam //	// praTamam-Ahnikam //
   yadapi ca--- dravyaguṇakarmasāmānyaviśeṣasamavāyarūpeṇa bhāvarūpāṇāṃ	yat-api ca-- dravya-guNa-karma-sAmAnya-viSeza-samavAya-rUpeNa BAva-rUpANAm
   padārthānāṃ ṣoḍhā parisaṃkhyānam, tadapi vaiśeṣikādhikaraṇe	padArTAnAm zoXA parisaMKyAnam, tat-api vESezika-aDikaraNe
   "samavāyābhyupagamācca sāmyādanavasthiteḥ" iti sūtrakāraireva	"samavAya-aByupagamAt-ca sAmyAt-anavasTiteH" iti sUtrakArEH-eva
   samavāyākhyapadārthāntaradūśaṇena parāstam /	samavAya-AKya-padArTa-antara-dUSaNena parAH-tam /
   abhāvatadadhikaraṇayorviśeṣaṇaviśeṣyabhāvasaṃnidhiviśeṣādiśabdavācyasaṃbandhāntarānumānamapi	aBAva-tad-aDikaraNayoH-viSezaNa-viSezya-BAva-saMniDi-viSeza-Adi-Sabda-vAcya-saMbanDa-antara-anumAnam-api
   samavāyadūṣaṇacchāyayaiva dūṣitameva /	samavAya-dUzaNa=-CAyayA-eva dUzitam-eva /
   yaścānyonyamatyantatulyeṣu muktātmādiṣu mitho vyāvṛttadhījananāya	yaH-ca-anyonyam-atyanta-tulyezu mukta-Atma-Adizu miTas vyAvRtta-DI-jananAya
   dravyatvādihetunā viśeṣākhyaḥ padārthaḥ kalpyate, sopi tulyanyāyatayā	dravya-tva-Adi-hetunA viSeza-AKyaH padArTaH kalpyate, sA-upi tulya-nyAyatayA
   sūtrakārairdūṣitaprāya eva /	sUtra-kArEH-dUzita-prAyaH eva /
   "mahaddīrghavadvā hvasvaparimaṇḍalābhyām"	"mahat-dIrGa-vat-vA hva-sva-parimaNxalAByAm-"
   ityanupapannaparamāṇudvyaṇukādiprakriyānidarśanenānyeṣāmapi	iti-anupapanna-paramANu-dvi-aNuka-Adi-prakriyA-nidarSanena-anyezAm-api
   tadabhyupagatānāmunapapannatvasya sūcitatvācca /	tad-aByupagatAnAmunapapanna-tvasya sUcita-tvAt-ca /
   api cānityeṣu dravyeṣu tāvajjātiguṇapādibhireva vyāvṛttadhīḥ sidhyatīti	api ca-anityezu dravyezu tAvat-jAti-guNa-pAdiBiH-eva vyAvRtta-DIH siDyati-iti
   nityeṣu hi viśeṣonyaḥ kalpyate; yathāhuḥ--- "nityadravyavṛttayontyā	nityezu hi viSezaH-nyaH kalpyate; yaTA-AhuH-- "nitya-dravya-vRtta-yontyA
   viśeṣāḥ" iti, tathāpi	viSezAH" iti, taTA-api
   vedāntibhirdiksaṃjñakavibhupadārthāntarānabhyupagamādākāśasya ca	veda-antiBiH-diS-saMjQaka-viBu-padArTa-antara-anaByupagamAt-AkASasya ca
   kāryatvādiśruteḥ	kAryatva-Adi-SruteH
   prakṛtivikārabhūtapṛthivyādyaṃśaviśeṣātiriktaparamāṇujālapratikṣepāt	prakRti-vikAra-BUta-pRTivI-Adi-aMSa-viSeza-atirikta-paramANu-jAla-pratikzepAt-
   tathāvidhaparamāṇūnāṃ cāvasthāpravāhasyānādyantatvānna tatra viśeṣakḷptiḥ	taTAviDa-paramANUnAm ca-avasTA-pravAhasya-anAdi-anta-tvAt-na tatra viSeza-k?ptiH
   tataḥ kālātmānau pariśiṣyete /	tatas kAla-AtmAnO pariSizyete /
   tatrāpi cetanānāṃ na kālatattvamātmatayā bhāti /	tatra-api cetanAnAm na kAla-tattvam-Atma-tayA BAti /
   kṣaṇalavādyavasthāyogitvaparāktvācetanatvādibhireva, tasmāt sveṣāṃ	kzaNa-lava-Adi-avasTA-yogi-tva-parAktvA-acetana-tva-AdiBiH-eva, tasmAt svezAm
   svebhyaśca tasya vyāvṛttadhīsaṃbhavāt /	sveByaH-ca tasya vyAvRtta-DI-saMBavAt /
   anyathānyenāpi kalpitena tadasaṃbhavaprasaṅgāt /	anyaTA-anyena-api kalpitena tad-asaMBava-prasaFgAt /
   ataḥ ātmapariśeṣe tatrāpi	atas Atma-pariSeze tatra-api
   jīveśvarayoraṇutvavibhutvaniyāmyatvaniyantṛtvādheyatvādhāratvaśeṣatvaśeṣitvaśarīratvaśarīr	jIveSvarayoH-aNu-tva-viBu-tva-niyAmya-tva-niyantR-tva-ADeya-tva-ADAra-tva-Seza-tva-Sezi-tva-SarIra-tva-SarIr
   itvābhiranekavidhairdharmabhedairvyāvṛttadhīsiddhau kimanyena viśeṣeṇa ? /	itvABiH-anekaviDEH-Darma-BedEH-vyAvRtta-DI-sidDO kim-anyena viSezeNa ? /
   tadatyantasāmyavatsu mukteṣu nityeṣvapi hi tatsāmyasyaiva saṃrakṣaṇāya	tat-atyanta-sAmyavatsu muktezu nityezu-api hi tad-sAmyasya-eva saMrakzaNAya
   dharmigrāhakasiddhā yāvadātmabhāvinaste te viśeṣā na parityaktāḥ /	Darmi-grAhaka-sidDAH yAvat-Atma-BAvinaH-te te viSezAH na parityaktAH /
   na ceśvaradvaitam; yeneśvarāṇāṃ mithovyāvṛttapratītyai viśeṣaṃ	na ca-ISvara-dvEtam; yena-ISvarANAm miTas-vyAvRtta-pratItyE viSezam
   kalpayiṣyāmaḥ, ekasyaiva sarvadeśakāleṣvekātapatratayā	kalpayizyAmaH, ekasya-eva sarva-deSa-kAlezu-ekAtapatra-tayA
   sarvaśrutisiddhatvāt, asyaiva ca sāmānyaśabdairviśeṣaśabdaiśca rūḍhito	sarva-Sruti-sidDa-tvAt, asya-eva ca sAmAnya-SabdEH-viSeza-SabdEH-ca rUXitaH-
   yogatastattadvasatuviśiṣṭatvādinā ca tattatprakaraṇānuguṇaṃ śarīrake	yogataH-tad-tad-vasatu-viSizwa-tva-AdinA ca tad-tad-prakaraNa-anuguNam SarIrake
   pratipādyatvasthāpanāt /	pratipAdya-tva-sTApanAt /
   jīveṣvapi baddhānāṃ mitho bhedastattatsukhaduḥkhadhīcchāvaicitryeṇa	jIvezu-api badDAnAm miTas BedaH-tad-tad-suKa-duHKa-Di-icCA-vEcitryeNa
   vyaktaḥ /	vyaktaH /
   baddhamuktayośca kiñcijjñatvasarvajñatvādibhiḥ, muktānāṃ nityānāṃ ca	badDa-muktayoH-ca kiQcijjQa-tva-sarvajQa-tva-AdiBiH, muktAnAm nityAnAm ca
   viśuddherādimattvānādimattvābhyāmeva vibhaktadhīsaṃbhavaḥ /	viSudDeH-Adimat-tva-anAdimattvAByAm-eva viBakta-DI-saMBavaH /
   muktadaśāyāṃ nityebhyaḥ kiṃ vaiṣmyamiti cet, kiṃ tena ? /	mukta-daSAyAm nityeByaH kim vEzmyam-iti cet, kim tena ? /
   prāktanena tattadātmavartitayā pratyakṣitena guṇādibhedena	prAktanena tad-tad-Atma-varti-tayA pratyakzitena guNa-Adi-Bedena
   tadanyavyāvṛttadhīsiddheḥ /	tad-anya-vyAvRtta-DI-sidDeH /
   siddhairapi tadvyavahāre prāktanopādhibhedaireva tattatpramāṇapramitaiḥ	sidDEH-api tad-vyavahAre prAktana-upADi-BedEH-eva tad-tad-pramANa-pramitEH
   pratisaṃhitaiḥ sarvanirvāhāt /	pratisaMhitEH sarva-nirvAhAt /
   etena muktānāṃ mitho vibhaktabuddhirapi nirvyūḍhā; na hi teṣāmekarūpaḥ	etena muktAnAm miTas viBakta-budDiH-api nirvyUXA; na hi tezAm-eka-rUpaH
   prāktanaḥ saṃsāraḥ;	prAktanaH saMsAraH;
   viṣamavipākasamayānādyasaṃkhyātakarmapravāhavaicitryapratiniyatadeśakālasvarūpasukhaduḥkhatatkāraṇādisaṃtatereva	vizama-vipAka-samaya-anAdya-saMKyAta-karma-pravAha-vEcitrya-pratiniyata-deSa-kAla-svarUpa-suKa-duHKa-tad-kAraNa-Adi-saMtateH-eva
   mitho vyāvartakatvāt /	miTas vyAvartaka-tvAt /
   tadatadvibhāgo hi tatkālavartinaivaṃ dharmeṇeti na niyamaḥ,	tad-atad-viBAgaH hi tad-kAla-vartinA-evam DarmeNa-iti na niyamaH,
   atatkālavartināpi tanniṣṭhatayopalabhyamānena tatsiddheḥ; na hyatītaḥ	atad-kAlavartinA-api tad-nizWatayA-upalaByamAnena tad-sidDeH; na hi-atItaH
   saṃsāro muktātmasvarūpamupalabhamānairnopalabhyate, upalabhyamāno	saMsAraH mukta-Atma-svarUpam-upalaBamAnEH-na-upalaByate, upalaByamAnaH-
   vānyaniṣṭhaḥ pratibhāti /	vA-anya-nizWaH pratiBAti /
   atha nityeṣu mithaḥ kā vārtrā ? /	aTa nityezu miTas kA vArtrA ? /
   sāpi kuśalaiva /	sA-api kuSala-eva /
   teṣāmapi hi satyasaṃkalpānāṃ vicitrāḥ saṃkalpecchādaya	tezAm-api hi satya-saMkalpAnAm vicitrAH saMkalpa-icCAdaya
   riśvarasyevāniyatadeśakālaviṣayāparyanuyojyasāmagrīkā	riSvarasya-iva-aniyata-deSa-kAla-vizaya-aparyanuyojya-sAmagrIkA
   anādyanantasaṃtānavantaḥ santīti kimanyena viśeṣeṇa ? /	anAdi-ananta-saMtAnavantaH santi-iti kim-anyena viSezeNa ? /
   api ca yaddarśane yatra yadāropo na bhavati sa hi tasya tato bhedaḥ /	api ca yad-darSane yatra yat-AropaH na Bavati sa hi tasya tatas BedaH /
   sa eva ca viśeṣaḥ /	saH eva ca viSezaH /
   sa cet svarūpabhūtohantvamādirūpeṇa bhātaḥ parāropaṃ pratirundhyāt,	sa ced sva-rUpa-BUtaH-hantvam-Adi-rUpeNa BAtaH parAropam pratirunDyAt,
   kastatonyastato viśeṣastasya ? /	kaH-tatonyaH-tatas viSezaH-tasya ? /
   evamanabhyupagame viśeṣakḷptāvapi kā gatirvaiśeṣikasya ?	evam-anaByupagame viSeza-k?ptO=-api kA gatiH-vESezikasya ?
   svaparanirvāhakāste viśeṣāḥ, iti cet, kiṃ ta eva? /	sva-para-nirvAhakAH-te viSezAH, iti cet, kim te eva? /
   api ca pṛthaktve vidyamāne kiṃ tairviśeṣaiḥ ? /	api ca pRTaktve vidyamAne kim tEH-viSezEH ? /
   pṛthaktvasyaikajātisaṃgṛhītatvānna tatopi vyāvṛttadhīrīti cet, tarhi tato	pRTaktu-asya-eka-jAti-saMgRhIta-tvAt-na tata-upi vyAvRtta-DIrI-iti cet, tarhi tatas-
   na kvacidapi syāt /	na kvacid-api syAt /
   viśeṣeṣvapi vā viśeṣatvākrānteṣu kaste nistāraḥ ? /	viSezezu-api vA viSeza-tva-AkrAntezu kaH-te nistAraH ? /
   viśeṣatvaṃ nāma jātirnāstīti cet, kiṃ tat ? /	viSeza-tvam nAma jAtiH-na-asti-iti cet, kim tat ? /
   upādhiriticet, kiṃ tato na saṃgrahaḥ?, tathā sati kvacidapi	upADiH-iti-cet, kim tatas na saMgrahaH?, taTA sati kvacid-api
   tannibandhanānuvṛttadhībhaṅgaprasaṅgāt /	tad-nibanDana-anuvRtta-DI-BaFga-prasaFgAt /
   evamanyonyābhāvenāpi gatārthatā dustareti parāstaḥ parābhimataviśeṣaḥ /	evam-anyonya-aBAvena-api gatArTa-tA dustara-iti parAstaH para-aBimata-viSezaH /
   sāmānyamapi paroktaṃ sūtrakāraireva nirastaprāyam; tathāhi---	sAmAnyam-api paroktam sUtrakArEH-eva nirasta-prAyam; taTA-hi---
   "tadananyatvamārambhaṇaśabdādibhyaḥ---" ityādibhiḥ sūtraiḥ	"tad-ananya-tvam-AramBaNa-Sabda-AdiByaH---" ityAdiBiH sUtrEH
   kāryadaśāyāmupādānasyāvasthāntarāpattimātrameva, na punaḥ	kArya-daSAyAm-upAdAnasya-avasTA-antara-Apatti-mAtram-eva, na punar-
   parābhimatamavayavyākhyaṃ dravyamastīti samarthanād ghaṭādyavayavyabhāve	para-aBimatam-avayavi-AKyam dravyam-asti-iti samarTanAt Gawa-Adi-avayavi-aBAve
   tadāśritaghaṭatvādisāmānyamavayavisamavetatayābhyupagataguṇādayastadubhayārambhaprakriyājālaṃ	tad-ASrita-Gawa-tva-Adi-sAmAnyam-avayavi-samaveta-tayA-aByupagata-guNa-AdayaH-tad-uBaya-AramBa-prakriyA-jAlam
   ca nirmūlitam /	ca nirmUlitam /
   yaccopādānasya ghaṭatvādirūpamavasthāntaraṃ saṃyogaviśeṣādirūpaṃ, tat	yat-ca-upAdAnasya Gawa-tva-Adi-rUpam-avasTA-antaram saMyoga-viSeza-Adi-rUpaM, tat-
   parairapi kāryatayābhyupetamupalambhādibhiśca tathaiva sidhyatīti na	parEH-api kArya-tayA-aByupetam-upalamBa-AdiBiH-ca taTA-eva siDyati-iti na
   tatrāpi nityatvakalpanāvakāśaḥ /	tatra-api nitya-tva-kalpanA-avakASaH /
   tataḥ sarveṣāṃ dravyāṇāṃ svarūpatonādyanantatvāt	tatas sarvezAm dravyANAm sva-rUpa-tona-Adi-ananta-tvAt
   kāryadravyatvātmatvādimātrameva śiṣyate /	kArya-dravya-tva-Atma-tva-Adi-mAtram-eva Sizyate /
   guṇeṣu nityeṣvavasthārūpeṣu cānuvṛttapratyayanimittaṃ kimiti cintyam;	guNezu nityezu-avasTA-rUpezu ca-anuvRtta-pratyaya-nimittam kim-iti cintyam;
   tatraivaṃ bhāṣitaṃ śārīrakādye---	tatra-evam BAzitam SArIraka-Adye---
   "saṃsthānātirekiṇonekeṣvekākārabuddhibodhyasyādarśanāt, tāvataiva	"saMsTAna-atirekiNonekezu-eka-AkAra-budDi-boDyasya-adarSanAt, tAvatA-eva
   gotvādijātivyavahāropapatteḥ, atirekavādepi saṃsthānasya	go-tva-Adi-jAti-vyavahAra-upapatteH, atireka-vAdepi saMsTAnasya
   saṃpratipannatvācca saṃsthānameva jāti /	saMpratipanna-tvAt-ca saMsTAnam-eva jAti /
   saṃsthānaṃ nāma svāsādhāraṇaṃ rūpamiti yathāvastu saṃsthānamanusaṃdheyam"	saMsTAnam nAma svAsa-ADAraNam rUpam-iti yaTAvastu saMsTAnam-anusaMDeyam"
   iti /	iti /
   etaduktaṃ bhavati--- kiṃ saṃsthānātiriktaṃ sāmānyaṃ	etat-uktam Bavati-- kim saMsTAna-atiriktam sAmAnyam
   viviktasphuṭapratyakṣādhyavasāyabhedādaṅgīkriyate, utopapattibalāditi;	vivikta-sPuwa-pratyakza-aDyavasAya-BedAt-aFgIkriyate, uta-upapatti-balAt-iti;
   nādyaḥ, asiddheḥ nāntyaḥ, anyathāsiddheḥ;	na-AdyaH, asidDeH na-antyaH, anyaTA-sidDeH;
   atiriktasāmānyamabhyupagacchatopi hi tadupalakṣaṇaṃ saṃsthānamiṣṭaṃ dṛṣṭaṃ	atirikta-sAmAnyam-aByupagacCata-upi hi tad-upalakzaNam saMsTAnam-izwam dRzwam
   ca /	ca /
   prativyaktiniyataṃ saṃsthānaṃ kathamanuvṛttapratyayakāraṇamiti cet, kathaṃ	prativyakti-niyatam saMsTAnam kaTam-anuvRtta-pratyaya-kAraNam-iti cet, kaTam
   vā tajjātīyasya lakṣaṇaṃ bhavati ? /	vA tad-jAtIyasya lakzaNam Bavati ? /
   anuvṛttajātyantarasaṃgṛhītopādhirūpatayeti cet, tāvataiva	anuvRtta-jAti-antara-saMgRhIta-upADi-rUpa-tayA-iti cet, tAvatA-eva
   gavādivyavahārasiddhau kimanyena ? /	gavA-Adi-vyavahAra-sidDO kim-anyena ? /
   tathāpyantatonuvṛttaṃ sāmānyaṃ kvacidabhyupagantavyam,	taTA-api-anta-tonuvRttam sAmAnyam kvacid-aByupagantavyam,
   yatrānanyathāsiddhiḥ; anyathopādhisaṃgrahasyāpyasaṃbhavāditi cet, tavāpi	yatra-ananyaTA-sidDiH; anyaTA-upADi-saMgrahasya-api-asaMBavAt-iti cet, tava-api
   vā tatra sāmānyamupalakṣaṇena saṃgṛhyate, na vā ?	vA tatra sAmAnyam-upalakzaNena saMgRhyate, na vA ?
   pūrvatrānyathāsiddhiranavasthitiśca /	pUrvatra-anyaTA-sidDiH-anavasTitiH-ca /
   uttaratra niyāmakādarśanājjāterāśrayavyavasthā na syāt /	uttaratra niyAmaka-adarSanAt-jAteH-ASraya-vyavasTA na syAt /
   vyāvṛttānāmapi svabhāvata eva kāsāṃcit vyaktīnāṃ tadvyañjakatvaniyatiriti	vyAvRttAnAm-api svaBAvataH eva kAsAMcid vyaktInAm tad-vyaQjaka-tva-niyatiH-iti
   cet, sa eva svabhāvaḥ kiṃ na vyavahāraṃ niyachet /	cet, saH eva svaBAvaH kim na vyavahAram niyaCet /
   nirviṣayaḥ kathaṃ vyavahāraḥ syāditi cet, tāsāmeva vyaktīnāṃ viṣayatvāt /	nirvizayaH kaTam vyavahAraH syAt-iti cet, tAsAm-eva vyaktInAm vizaya-tvAt /
   vyāvṛttānāmanuvṛttavyavahāraviṣayatve sarvatra viṣayavyavasthā bhajyeteti	vyAvRttAnAm-anuvRtta-vyavahAra-vizaya-tve sarvatra vizaya-vyavasTA Bajyeta-iti
   cet, vyāvṛttānāmanuvṛttavyañjakatve sarvatra tadvyaktiḥ kiṃ na syāt ? /	cet, vyAvRttAnAm-anuvRtta-vyaQjaka-tve sarvatra tad-vyaktiH kim na syAt ? /
   saṃbandhāsaṃbandhābhyāṃ niyamāditi cenna, saṃbandhasyāpi samavāyanāmnaḥ	saMbanDA-saMbanDAByAm niyamAt-iti ced-na, saMbanDasya-api samavAya-nAmnaH
   sārvatrikatvābhyupagamāt tatrāpyabhivyaktipratiniyamasya mṛgyatvāt,	sArvatrika-tva-aByupagamAt tatra-api-aBivyakti-pratiniyamasya mRgya-tvAt,
   nānāsamavāyavādepi vyaktisvabhāvaniyamasya dustyajatvāt, tathāpi	nAnA-samavAya-vAdepi vyakti-svaBAva-niyamasya dustyaja-tvAt, taTA-api
   dṛṣṭaikagovyaktervyaktyantare soyamiti pratyabhijñānaṃ kathaṃ syāt ? ayaṃ	dRzwa-eka-go-vyakteH-vyakti-antare soyam-iti pratyaBijQAnam kaTam syAt ? ayam
   gaurityekavyaktau vyutpāditaśca kathaṃ vyaktyatyantarepi tacchabdavācyatāṃ	gOH-iti-eka-vyaktO vyutpAditaH-ca kaTam vyakti-atyantarepi tad-SabdavAcya-tAm
   pratīyāt ? iti cet, tavāpi vā katham ? /	pratIyAt ? iti cet, tava-api vA kaTam ? /
   ekadharmasamavāyāditi cet ? tenaiva dharmeṇa svato militasya	eka-Darma-samavAyAt-iti ced ? tena-eva DarmeNa svatas militasya
   samavāyasyaiva nityaṃ sarvatra vṛttyabhyupagamena sarvatra	samavAyasya-eva nityam sarvatra vRtti-aByupagamena sarvatra
   sarvavyavahārasaṃkaraprasaṅgāt /	sarva-vyavahAra-saMkara-prasaFgAt /
   kāsāṃcideva vyaktīnāṃ tadvyañjakatvasvābhāvyād vyavasthokteti cet, tarhi	kAsAMcid-eva vyaktInAm tad-vyaQjaka-tva-svABAvyAt vyavasTA-uktA-iti cet, tarhi
   tāsāmeva vyaktīnāṃ pratisaṃdhānavyavahārayorviṣayatvamastu /	tAsAm-eva vyaktInAm pratisaMDAna-vyavahArayoH-vizaya-tvam-astu /
   tathā sati bhrāntatvaṃ tayoḥ syāditi cenna, tadvyaktitvena	taTA sati BrAnta-tvam tayoH syAt-iti ced-na, tad-vyakti-tvena
   pratisaṃdhānāderabhāvāt ; api tarhi tathātvena vyaktisvarūpātiriktaṃ	pratisaMDAna-AdeH-aBAvAt ; api tarhi taTAtvena vyakti-svarUpa-atiriktam
   tathātvaṃ nāmāntareṇa jātireva syāditi cet, tajjātivyañjakaṃ	taTAtvam nAma-antareNa jAtiH-eva syAt-iti cet, tad-jAti-vyaQjakam
   tattadekavyaktisvarūpātiriktaṃ kiṃ na jātyantaraṃ syāt ? /	tad-tad-eka-vyakti-svarUpa-atiriktam kim na jAti-antaram syAt ? /
   upādhiviśeṣa evāyaṃ pratiniyatāśraya iti cet, evaṃ tarhi	upADi-viSezaH eva-ayam pratiniyata-ASrayaH iti cet, evam tarhi
   pratiniyatapratiyogikaṃ svabhāvaniyataṃ parasparasmārakatvamupajīvya	pratiniyata-pratiyogikam svaBAva-niyatam paraspara-smAraka-tvam-upajIvya
   tajjātīyatayā pratisaṃdhānavyavahāropapattau kimanyakalpanena ? /	tad-jAtIya-tayA pratisaMDAna-vyavahAra-upapattO kim-anya-kalpanena ? /
   tasmārakataditaravibhāgaḥ kutastya iti cet, tadvyañjakataditaravibhāgaste	tasmAraka-taditara-viBAgaH kutastyaH iti cet, tad-vyaQjaka-taditara-viBAgaH-te
   kutastyaḥ ? /	kutastyaH ? /
   darśanādarśanāyatta iti cet, tulyam /	darSana-adarSana-Ayatte iti cet, tulyam /
   saṃbandhasādṛśyayorabhāve kathaṃ smārakatvamiti cet, tayorvā katham ? /	saMbanDa-sAdRSyayoH-aBAve kaTam smAraka-tvam-iti cet, tayoH-vA kaTam ? /
   sadṛśasahānubhūtadarśanasya saṃskārodbodhakatvāditi cet, tadapi kutaḥ ? /	sadRSa-saha-anuBUta-darSanasya saMskAra-udboDaka-tvAt-iti cet, tat-api kutas ? /
   kāryadarśanāt kalpyate iti cet, tulyam; anyathā saṃbandhaṃ sādṛśyaṃ	kArya-darSanAt kalpyate iti cet, tulyam; anyaTA saMbanDam sAdRSyam
   vaikamupādāya tadanyasya kathaṃ smārakatvamiti codyasya durvāratvāt /	vA-ekam-upAdAya tad-anyasya kaTam smAraka-tvam-iti ca-udyasya durvAra-tvAt /
   na cātra sādṛśyaṃ nāṅgīkurmaḥ, sausādṛśyarūpatvābhyupagamāt sāmānyasya /	na ca-atra sAdRSyam na-aFgIkurmaH, sOsAdRSya-rUpa-tva-aByupagamAt sAmAnyasya /
   nāmāntareṇa parābhimatajātisvīkāraḥ iti cet, vyāvṛttānāṃ saṃniveśādīnāmeva	nAma-antareNa para-aBimata-jAti-svIkAraH iti cet, vyAvRttAnAm saMniveSa-AdInAm-eva
   pratiniyatapratiyogismārakasvabhāvatayā sādṛśyarūpatvāt /	pratiniyata-pratiyogi-smAraka-svaBAva-tayA sAdRSya-rUpa-tvAt /
   gavayāderapi tarhi gojātīyatvādiprasaṅgaḥ iti cenna,	gavaya-AdeH-api tarhi gojAtIya-tva-Adi-prasaFgaH iti ced-na,
   sādṛśyasausādṛśyavibhāgasvaya sāṃpratyayikasya sarvasaṃmatatvāt iti /	sAdRSya-sOsAdRSya-viBAga-svaya sAMpratyayikasya sarva-saMmata-tvAt iti /
   evaṃ sāmānyādiṣu sūtrakārādibhirnirasteṣu pariśiṣṭā	evam sAmAnya-Adizu sUtrakAra-AdiBiH-nirastezu pariSizwA
   dravyaguṇakarmarūpāstrayaḥ padārthāḥ iti kecidācāryāḥ //	dravya-guNa-karma-rUpAH-trayaH padArTAH iti kecid-AcAryAH //
   nyā. pa. prame. 2 anye tu manyante---yathā tatpratīteranyathāsiddhatayā te	nyA. pa. prame. 2 anye tu manyante---yaTA tad-pratIteH-anyaTA-sidDa-tayA te
   padārthā bhāṣyakārādibhirnirasyante, tathā karmāpi, iti, ye tāvadiha	padArTAH BAzya-kAra-AdiBiH-nirasyante, taTA karma-api, iti, ye tAvat-iha
   sarvatra sūryaparispandādivadapratyakṣaṃ karma phalānumeyamicchanti /	sarvatra sUrya-parispanda-Adi-vat-apratyakzam karma Pala-anumeyam-icCanti /
   tatra yayā sāmagryā karmaṇaḥ siddhirabhimatā tayaiva dṛṣṭaṃ karmaphalaṃ	tatra yayA sAmagryA karmaNaH sidDiH-aBimatA tayA-eva dRzwam karma-Palam
   sādhyatām, kimantarā kalpitena karmaṇā ? /	sADya-tAm, kim-antarA kalpitena karmaNA ? /
   tathāpi cet kḷptiḥ, anyatrāpi kālaviprakarṣādarśanepi	taTA-api ced k?ptiH, anyatra-api kAla-viprakarza-AdarSanepi
   sāmagrīkāryayormadhye anyasya kḷptiprasaṅgaḥ; tathaiva ca	sAmagrI-kAryayoH-maDye anyasya k?pti-prasaFgaH; taTA-eva ca
   tratrāpītyanavasthā syāt /	tratrApi-iti-anavasTA syAt /
   ye ca "pratyakṣaṃ karma" ityāhuḥ, tairapi nūnaṃ	ye ca "pratyakzam karma" iti-AhuH, tEH-api nUnam
   karmaphalatvenābhyupagamasaṃyogavibhāgātiriktaṃ nipuṇanirīkṣaṇepi	karma-Pala-tvena-aByupagama-saMyoga-viBAga-atiriktam nipuNa-nirIkzaNepi
   nopalabhyata iti manyāmahe /	na-upalaByate iti manyAmahe /
   calatipratyayopi hi tāvataiva caritārthaḥ /	calati-pratyayopi hi tAvatA-eva caritArTaH /
   na ca vācyaṃ yāvatsaṃyogaṃ calatipratyayaprasaṅga iti,	na ca vAcyam yAvat-saMyogam calati-pratyaya-prasaFgaH iti,
   pūrvadeśavibhāgapūrvakadeśāntarasaṃyogaprathamakṣaṇaviṣayatvāt	pUrva-deSa-viBAga-pUrvaka-deSa-antara-saMyoga-praTama-kzaNa-vizaya-tvAt
   tatpratyayasya /	tad-pratyayasya /
   tata eva hyuttarakāle saṃyoge vartamānepyacaladiti	tatas eva hi-uttara-kAle saMyoge vartamAnepya-calat-iti
   bhūtānusaṃdhānamupapannam /	BUta-anusaMDAnam-upapannam /
   nanu pravāhamadhyasthite sthāṇau pūrvasalilaskandhaviyogaḥ	nanu pravAha-maDya-sTite sTANO pUrva-salila-skanDa-viyogaH
   uttarasalilaskandhayogaśca dṛśyate, na ca tatra calatvamicchāmaḥ;	uttara-salila-skanDa-yogaH-ca dRSyate, na ca tatra cala-tvam-icCAmaH;
   vyomādaya eva sthiradeśatvena vivakṣitāḥ iti cenna, pravāhasya tato	vyoma-AdayaH eva sTira-deSa-tvena vivakzitAH iti ced-na, pravAhasya tatas-
