   Stūpa-lakṣaṇa-kārikā-vivecanaṃ	StUpa-lakzaNa--kArikA--vivecanam
   maṇḍalaṃ caturasraṃ vā anyathānukārayet || 8 ||	maNxalam catur-asram vA anyaTA-anukArayet || 8 ||
   tad ūrdhvaṃ vedikāḥ kāryāḥ catustridv'eka saṃkhyayā |	tat UrDvam vedikAH kAryAH catur-tridvaeka saMKyayA |
   catuṣkoṇāṣṭakoṇā vā athavā parimaṇḍalā || 9 ||	catuzkoNa-azwa-koNA vA aTavA parimaNxalAH || 9 ||
   sārccā gṛh'; ekasaṃyuktāṃ ūrdhvāṃ vediṃ prakalpayet |	sArccA gRh-a; eka-saMyuktAm UrDvAm vedim prakalpayet |
   karaṇḍasya samantena nānāvidyāvibhūṣitāṃ || 10 ||	karaNxasya samantena nAnA-vidyA-viBUzitAm || 10 ||
   ataś catukoṇabhāge madhyakoṣṭhapramāṇataḥ |	atas catu-koNa-BAge maDya-kozWa-pramANataH |
   tisras teṣāṃ tu kartavyā caturthaṃ biṃba ba || 11 ||	tisraH tezAm tu kartavyA caturTam biMba baH || 11 ||
   Here the text breaks off, as folio 2a,b is missing. From the commentary, I	Here Te text breakH off, aH foliaH 2a,b iH missing. From Te ca-umma-intary, I
   am quoting the fragmentary pieces of the stanzas which were included in	am quoting Te fragmentari pieceH of Te stanzaH whiC were includet in
   the text portion of folio 2a,b.	Te text portion of foliaH 2a,b.
   Slkv §2 adhaś caturthake bhāge ... [12] (§16.6a.2).	Slku §2 aDas caturTake BAge ... [12] (§16.6a.2).
   bāhyakoṣṭha ṣaḍ āyāmety ādi ... [13] (§17.6a.4-5).	bAhya-kozWa zaw AyAma-iti Adi ... [13] (§17.6a.4-5).
   tad anyānukramakṣīṇām iti ... [14] (§17.6a.7).	tat anya-anukrama-kzINAm iti ... [14] (§17.6a.7).
   adho vedyā vistāras tad vedikāyā hrasve kṛtam | ... [15] (§18.6b.7).	aDas vedyAH vistAraH tat vedikAyAH hrasve kRtam | ... [15] (§18.6b.7).
   unnāmena tathā kuryād ity ādi | [16] (§19.7a.l).	unnAmena taTA kuryAt iti Adi | [16] (§19.7a.l).
   tisro vedyaḥ jaṃghāvedikādyāḥ ity ādhyāhāryaṃ | [17] (§19.7a.2).	tisraH vedyaH jaMGA-vedika-AdyAH iti ADyAhAryam | [17] (§19.7a.2).
   na nirgacchet yathābiṃbam ity ādi | [18] (§19.7a2-3).	na nirgacCet yaTAbiMbam iti Adi | [18] (§19.7a2-3).
   karaṇḍake hy udgatety ādi | [19] (§20.7a.4).	karaNxake hi udgata-iti Adi | [19] (§20.7a.4).
   Slkv p. 210	Slku p. 210
   karaṇḍaś ca tatas tūrikām iti | [20] (§21.7a.7).	karaNxaH ca tatas tUrikAm iti | [20] (§21.7a.7).
   aṇḍakaṃ vaṭayitavyam iti | [21] (§22.7b.l).	aNxakam vawayitavyam iti | [21] (§22.7b.l).
   tasyādho bāhyakoṣṭhasyeti | [22] (§23.7b.2).	tasya-aDas bAhya-kozWasya-iti | [22] (§23.7b.2).
   tatpātrākāraṃ śāntikām iti | [22a] (§23.7b.3).	tad-pAtra-AkAram SAntikAm iti | [22a] (§23.7b.3).
   sarvān manāsamaṃ somyam ity ādi | [23] (§23.7b.5).	sarvAn manA-samam somyam iti Adi | [23] (§23.7b.5).
   tad ūrdhvaṃ bāhyakoṣṭhasyety ādi | [24] (§25.8a.l).	tat UrDvam bAhya-kozWasya-iti Adi | [24] (§25.8a.l).
   pañcaviṃśatikoṣṭhakam ity ādi | [25] (§27.8a.45).	paQcaviMSati-kozWakam iti Adi | [25] (§27.8a.45).
                       ś catvāraṃ pudgalā matāḥ |	S catvAram pudgalAH matAH |
   arhanta cakravartis tu pratyekaś ca jino jinaḥ || 26 ||	arhanta cakravartiH tu pratyekaH ca jinaH jinaH || 26 ||
   śaikṣāṇāṃ arhataś caiva gaṇakhaḍga jinasya ca |	SEkzANAm arhataH ca-eva gaNa-Kaxga jinasya ca |
   ekādhikaṃ tu kartavyaṃ cchatrāvalyāṃ vibhūṣitaṃ || 27 ||	eka-aDikam tu kartavyam cCatra-AvalyAm viBUzitam || 27 ||
   śarīre dhātubhir yuktaṃ dharmadhātuvivarjitaṃ |	SarIre DAtuBiH yuktam DarmaDAtu-vivarjitam |
   uṣṇīṣacandrasūryaś ca stambhā ghaṇṭadvayena ca || 28 ||	uzNIza-candra-sUryaH ca stamBA GaNwa-dvayena ca || 28 ||
   svabhāvaṃ kalpavedādīṃ stūpasyāsya tu kathyayet |	svaBAvam kalpa-veda-AdIm stUpasya-asya tu kaTyayet |
   adharā bhūmi pādāya yāvad ūrdhvaṃ krameṇa tu || 29 ||	aDarA BUmi pAdAya yAvat UrDvam krameNa tu || 29 ||
   Slkv §3	Slku §3
   1. dānaṃ pṛthivī	1. dAnam pRTivI
   2. śīlan nemi	2. SIlan nemi
   3. catvāry āryavaṃśā aṅgaṇāṃ	3. catvAri Arya-vaMSAH aFgaNAm
   4. catvāry āryasatyāni sopānāni	4. catvAri Arya-satyAni sopAnAni
   5. vaiśāradyāni stambhāḥ	5. vESAradyAni stamBAH
   6. smṛtyupasthānāni adharā vedī	6. smRti-upasTAnAni aDarA vedI
   7. samyakprahāṇāni dvitīyā vedī	7. samyak-prahANAni dvitIyA vedI
   Slkv p. 211	Slku p. 211
   8. ṛddhipādās tṛtīyā vedī	8. RdDi-pAdAH tRtIyA vedI
   9. śraddhādīni paṃcendriyāni caturthī jaṃghāvedī	9. SradDA-AdIni paMca-indriyAni caturTI jaMGAvedI
   10. śraddhādīni pañcabalāni kaṇṭhakaṃ	10. SradDA-AdIni paQca-balAni kaNWakam
   11. anityādīni dharmamukhāni catasraḥ puṣpagrahaṇyāḥ	11. anitya-AdIni Darma-muKAni catasraH puzpa-grahaNyAH
   12. anāsravāḥ prathamadhyānabhūmijā prasrabdhisaṃbodhyaṅgaṃ kaṇṭhakaṃ	12. anAsravAH praTama-DyAna-BUmi-jA prasrabDi-saMboDi-aFgam kaNWakam
   13. dvitīyatṛtīyadhyānabhūmijā prītiprīti saṃbodhyaṅgaṃ kaṇṭhakavalayaṃ	13. dvitIya-tRtIya-DyAna-BUmi-jA prIti-prIti saMboDi-aFgam kaNWaka-valayam
   valitakaṃ	valitakam
   14. anāgamyacaturthadhyānādibhūmijā upekṣāvedanā-upekṣāsaṃbodhyaṅgaṃ	14. anAgamya-caturTa-DyAna-Adi-BUmi-jAH upekzA-vedanA-upekzA-saMboDi-aFgam
   harmikā	harmikA
   15. smṛtidharmapravicayavīryasamādhisaṃbodhyaṅgāni catvāro lokapālāḥ	15. smRti-Darma-pravicaya-vIrya-samADi-saMboDi-aFgAni catvAraH lokapAlAH
   Slkv p. 212	Slku p. 212
   16. āryāṣṭāṅgo mārgo yaṣṭiḥ	16. Arya-azwa-aFgaH mArgaH yazwiH
   17. kṣīṇāsravabalāni trīṇi cāvenikāni smṛtyupasthānāni trayodaśa	17. kzINa-Asrava-balAni trINi ca-AvenikAni smRti-upasTAnAni trayodaSa
   cchatravalyāḥ	cCatravalyAH
   18. uṣṇīṣo mahākaruṇāviśuddhiḥ (Bénisti: tad upari	18. uzNIzaH mahA-karuNA-viSudDiH (Bénisti: tat upari
   anuttaramahākaruṇāviśuddhyā uṣṇīṣaṃ ||)	anuttara-mahA-karuNA-viSudDyA uzNIzam ||)
   19. vimalā nirvāṇadhātuḥ sitātapatrā	19. vimalA nirvANa-DAtuH sita-AtapatrA
   Slkv p. 213	Slku p. 213
   20. saṃvṛttisatyaṃ paramārthasatyaṃ candrasūryau	20. saMvRtti-satyam parama-arTa-satyam candra-sUryO
   21. āryaratnam idaṃ gāthādvayam satvaviṣayātmagataṃ ghaṇṭādvayaṃ	21. Arya-ratnam idam gATA-dvayam satva-vizaya-Atma-gatam GaNwA-dvayam
   22. sarvākārajñātājñānaṃ cchatraṃ	22. sarva-AkAra-jQAta-ajQAnam cCatram
   23. alobhātmikacetovimukti dhvajaṃ ity api sa bhagavān ity ādi	23. aloBa-Atmika-cetaH-vimukti Dvajam iti api sa BagavAn iti Adi
   24. yaśas patākāḥ	24. yaSaH patAkAH
   prakīrṇakacaityalakṣanaṃ samāptam ||	prakIrNaka-cEtya-lakzanam samAptam ||
   || āryalokottaravādino yat kṛtir ācārya bhadravyūhasya |	|| Arya-loka-uttara-vAdinaH yat kRtiH AcArya Badra-vyUhasya |
   Slkv p. 214	Slku p. 214
   Slkv §4	Slku §4
   nirjitāśeṣadoṣagaṃ guṇotvākaparāgatāḥ |	nirjita-aSeza-doza-gam guNa-utvA-kapara-AgatAH |
   jayanti jitajanmāno bhagavantas tathāgatāḥ || 1 ||	jayanti jita-janmAnaH BagavantaH taTAgatAH || 1 ||
   stūpaṃ kṛtvopadeśena yen'; artho jagataḥ kṛtaḥ |	stUpam kRtvA-upadeSena yen-a; arTaH jagataH kRtaH |
   tam ahaṃ śirasā vande bhadravyūhāhvayaṃ yatiṃ || 2 ||	tam aham SirasA vande Badra-vyUha-Ahvayam yatim || 2 ||
   sandigdhājñaviparyastadhiyaṃ saṃpratipattaye |	sandigDa-AjQa-viparyasta-Diyam saMpratipattaye |
   stūpalakṣaṇaśāstrasya vivecanam ihocyate || 3 ||	stu-upalakzaNa-SAstrasya vivecanam iha-ucyate || 3 ||
   Slkv §5 prakīrṇam ity ādi | iṣṭadevatāyā namaskāraḥ sadācārānuvṛttaye |	Slku §5 prakIrNam iti Adi | izwadevatAyAH namaskAraH sat-AcAra-anuvRttaye |
   kim artham ācāryeṇa praṇāmārambhena kṛtaḥ | kṛto hy ācāryeṇa	kim arTam AcAryeNa praNAma-AramBena kRtaH | kRtaH hi AcAryeNa
   prakīrṇavinayasaṃgrahakārikādau namaskāraḥ | yasya vāco mano dehākhatulyāḥ	prakIrNa-vinaya-saMgraha-kArika-AdO namaskAraH | yasya vAcaH manaH deha-AKa-tulyAH
   sarvathā muneḥ || taṃ pranasyata sātatvaṃ vakṣye vinayakārikām iti || tad	sarvaTA muneH || tam pranasyata sAtatvam vakzye vinaya-kArikAm iti || tat-
   ekadeśa bhūtaṃ caidam ity anena nātrābhihitaṃ | ata eva prakīrṇavinaya ity	eka-deSa BUtam ca-edam iti anena na-atra-aBihitam | atas eva prakIrNa-vinayaH iti-
   ādinā tayavatām asya sūcayati śāstrakāra ity ato na doṣaḥ |	AdinA tayavatAm asya sUcayati SAstra-kAraH iti atas na dozaH |
   Slkv §6 prakīrṇake hi yad viṃśatisahasrāyuṣiprajāyāṃ bhagavataḥ kāśyapasya	Slku §6 prakIrNake hi yat viMSati-sahasra-Ayuzi-prajAyAm BagavataH kASyapasya
   kṛkina rājñā stūpaḥ kṛtaḥ yojanam uccatvena yojanaṃ pariṇāhena ardhayojana	kRkina rAjQA stUpaH kRtaH yojanam ucca-tvena yojanam pariNAhena arDa-yojana
   pratisareṇa krośamātrikayā vedikayā | tāmraloharaitikāya hastacāraṇāya tam	pratisareNa kroSa-mAtrikayA vedikayA | tAmra-loharEtikAya hasta-cAraNAya tam
   upadarśayitvoktaṃ | sthale pradeśe stūpaṃ kartavyaṃ kārayatā prācīran ty	upadarSayitvA-uktam | sTale pradeSe stUpam kartavyam kArayatA prAcIran ty
   evaṃ kartavyaṃ.	evam kartavyaM.
   Slkv §7 athāṅgana (MS: athāṅgaṇa) vedī jaṃghā puṣpagrahaṇīyaṃ | ā yakā	Slku §7 aTa-aFganaH (MS: aTa-aFgaNa) vedI jaMGA puzpa-grahaNIyam | A yakA
   aṇḍakaṃ kaṇṭhakaṃ kaṇṭhikā harmikā cchatrāvalī cchatraṃ ghaṇṭā dhvajaḥ	aNxakam kaNWakam kaNWikA harmikA cCatra-AvalI cCatram GaNwA DvajaH
   patākā stūpagṛha āgama puṣkiriṇī prākāra coktaṃ | puna prakīrṇasaṃbandhe	patAkA stu-upagRhe Agama puzkiriNI prAkAra ca-uktam | puna prakIrNa-saMbanDe
   nedam uktaṃ | cakravartibhūtena mayā yojanam uccaṃ yojanābhiveṣañ ca	na-idam uktam | cakravarti-BUtena mayA yojanam uccam yojana-aBivezan ca
   stūpaṃ kṛtam Slkv p. 215 iti | tad anyeṣāṃ nikāyānām iti sarvāstivādināṃ	stUpam kRtam Slku p. 215 iti | tat anyezAm nikAyAnAm iti sarva-astivAdinAm
   stūpakalpanāsūtre kṣudrake coktaṃ |	stu-upakalpanA-sUtre kzudrake ca-uktam |
   Slkv §8 sagṛhastūpaḥ stambhaś catasraḥ pariṣaṇṇāḥ stambha sopāna lokapālā	Slku §8 sa-gRhastUpaH stamBaH catasraH parizaNNAH stamBa sopAna lokapAlA
   sthā sacandrasitāmbaraḥ patākā makaradhvajādayaḥ coktāḥ |	sTA sa-candra-sitA-ambaraH patAkAH makaraDvaja-AdayaH ca-uktAH |
   Slkv §9 kūṭāgārasūtre coktaṃ | sarṣapaphalamātra dhātor arthāya	Slku §9 kUwAgAra-sUtre ca-uktam | sarzapa-Pala-mAtra DAtoH arTAya
   āmalakamātraṃ stūpaṃ kārayet | tasmiṃ stūpe sūcīmātraṃ yaṣṭim āropayet |	Amalaka-mAtram stUpam kArayet | tasmim stUpe sUcI-mAtram yazwim Aropayet |
   badarīpatramātraṃ cchatram āropayet |	badarI-patra-mAtram cCatram Aropayet |
   Slkv §10 abhigamya iti | abhigamye praśaste bahujanopasaṃkramaṇīye na vā |	Slku §10 aBigamya iti | aBigamye praSaste bahu-jana-upasaMkramaNIye na vA |
   vāstuśuddhe vāstuvidyāpraṇītalakṣaṇānvite | apratiṣṭhite anyacaityarahite	vAstu-SudDe vAstu-vidyA-praNIta-lakzaNa-anvite | apratizWite anya-cEtya-rahite
   | na khādi varjitonnate madhyonnate snigdhe arūkṣe śucini amedhyarahite ||	| na Ka-Adi varjita-unnate maDya-unnate snigDe arUkze Sucini ameDya-rahite ||
   ity evaṃ stūpodgamapradeśaviśeṣaṃ nirdhāya lakṣaṇaṃ samupadarśayann āha |	iti evam stUpa-udgama-pradeSa-viSezam nirDAya lakzaNam samupadarSayan Aha |
   parinahena kumbhasyety ādi | parihaṇaṃ parināhaḥ pariṇāha |	parinahena kumBasya-iti Adi | parihaNam parinAhaH pariNAha |
   madhyabhāgaparikṣepaḥ paribandha yathāroha pariṇāhasaṃpannapuruṣa iti ||	maDya-BAga-parikzepaH paribanDa yaTA-Aroha pariNAha-saMpanna-puruzaH iti ||
   tatra ca ārohaśabdenoccatvaṃ kathyate | na pariṇāhaśabdenoccatvaṃ |	tatra ca Aroha-Sabdena-ucca-tvam kaTyate | na pariNAha-Sabdena-ucca-tvam |
   pariṇāhaśabdenābhidhānāt ||	pariNAha-Sabdena-aBiDAnAt ||
   Slkv §11 evam ihāpi pariṇāhaśabdena maṇḍalanābheś caturdiśaṃ |	Slku §11 evam iha-api pariNAha-Sabdena maNxala-nABeH caturdiSam |
   cakrāranyāyena madhyasūtraparikṣepaḥ paribandho 'bhiproktaḥ | caturthī pi	cakrAranyAyena maDya-sUtra-parikzepaH paribanDaH aBiproktaH | caturTI pi
   kalaśādisthasaṃsthāneṣu tan mātraṃ pṛthutvasyāvyabhicārāt | kiṃ	kalaSa-Adi-sTa-saMsTAnezu tat mAtram pRTutvasya-avyaBicArAt | kim
   saṃbandhinā pariṇāhena kumbhasya kumbhuḥ karaṇḍaka tasya pariṇāhena stūpa	saMbanDinA pariNAhena kumBasya kumBuH karaNxaka tasya pariNAhena stUpa
   dairgheṇeṣṭam ity arthaḥ | uktaṃ hi prakīrṇavinaye yojanam uccatvena	dErGeNa-izwam iti arTaH | uktam hi prakIrNa-vinaye yojanam ucca-tvena
   yojanaṃ pariṇāheneti | caturasrā bhaven nemir ity ādi | caturasrā	yojanam pariNAhena-iti | catur-asrA Bavet nemiH iti Adi | caturasrA
   catuṣkoṇabhūmyāṃ kumbhaḥ karaṇḍaḥ maṇḍalānurūpyena nemivistāro bhavatīty	catuzkoNa-BUmyAm kumBaH karaNxaH maNxala-AnurUpyena nemi-vistAraH Bavati-iti-
   arthaḥ |	arTaH |
   Slkv §12 atra prakīrṇe coktaṃ | eṣa kaścit stūpaṃ kārayatā prācīrāntāt	Slku §12 atra prakIrNe ca-uktam | eza kaScid stUpam kArayatA prAcIra-antAt-
   tāvat kārayitavyeti tad anukramārthaṃ cātra caturasrake maṇḍalasūtrapātād	tAvat kArayitavyA-iti tat anukrama-arTam ca-atra caturasrake maNxala-sUtra-pAtAd
   bāhyābāhyato madhyakoṣṭhaparikṣepo 'bhyantarataś ca | ekāsītikoṣṭhakanyāye	bAhya-AbAhyataH maDya-kozWa-parikzepaH aByantaratas ca | ekAsIti-kozWaka-nyAye
   sa vijñeyāṃ | Slkv p. 216 tato 'bhyantare ca nemibhittivistārārdhena	sa vijQeyAm | Slku p. 216 tatas aByantare ca nemi-Bitti-vistAra-arDena
   draṣṭavyam iti | karaṇḍakasyāṣṭabhāgenety adi	drazwavyam iti | karaNxakasya-azwa-BAgena-iti adi
   kumbhapariṇāhāṣṭamāṃsenādhastān nemyā nimarjanaṃ | udakodbhedaṃ vā yāvad	kumBa-pariNAha-azwa-mAMsena-aDastAt nemyA nimarjanam | udaka-udBedam vA yAvat-
   āśuddher vā bhuvaḥ pṛthivyāḥ smṛtam ity arthaḥ | aṣṭabhāgonnatam ity ādi	ASudDeH vA BuvaH pRTivyAH smRtam iti arTaH | azwa-BAga-unnatam iti Adi
   nemimānād aṣṭamāṃsam ādāya tenājitam unnataṃ kāryam ity arthaḥ |	nemi-mAnAt azwa-mAMsam AdAya tena-ajitam unnatam kAryam iti arTaH |
   Slkv §13 yataḥ prakīrṇake h'; uktaṃ | aṃgana na khasthala kāryam iti |	Slku §13 yatas prakIrNake ha; uktam | aMgana na Ka-sTala kAryam iti |
   vistāratas tv ayā vedikād bahiḥ kumbhapariṇāhapādenaiṣṭaṃ | catur asrikā	vistArataH tu ayA vedikAt bahis kumBa-pariNAha-pAdena-ezwam | catuH asrikA
   medhī vedī jaṃghāpuṭāvedī kartavyeti |	meDI vedI jaMGApuwa-AvedI kartavyA-iti |
   Slkv §14 sarvāstivādakānām āgameṣūktaṃ | catasra pariṣaṇṇāḥ kartavyā iti	Slku §14 sarva-astivAdakAnAm Agamezu-uktam | catasra parizaNNAH kartavyAH iti
   catus tri dv'; eka saṃkhyāyety anenena vedikābhisaṃbandhaḥ kriyate |	catur tri dv-a; eka saMKyAya-iti anenena vedikA-aBisaMbanDaH kriyate |
   catasraḥ parisaṇṇā kartavyāḥ | catvāri smṛtyupasthānāni prathamā vedī ||	catasraH parisaNNA kartavyAH | catvAri smRti-upasTAnAni praTamA vedI ||
   yāvat paṃcendriyāṇi caturthī vedī | aneneva vinaye tatva uktā vedikānāṃ |	yAvat paMca-indriyANi caturTI vedI | anena-iva vinaye tatvaH uktA vedikAnAm |
   Slkv §15 katamaḥ saṃsthānābhisaṃbandhaḥ kriyate | tad āha ca	Slku §15 katamaH saMsTAna-aBisaMbanDaH kriyate | tat Aha ca
   catuṣkonāṣṭakoṇā vā athavā parimaṇḍaleti | sarvā gṛh'; ekasaṃyuktān ity	catuzkona-azwa-koNA vA aTavA parimaNxala-iti | sarvAH gRh-a; eka-saMyuktAn iti-
   ādinā | āyakapuṣpagrahāṇy āpekṣatāṃ | caturthī jaṃghāvedikāt kuryād ity	AdinA | Ayaka-puzpa-grahANi ApekzatAm | caturTI jaMGA-vedikAt kuryAt iti-
   artha | yataḥ prakīrṇake uktaṃ | caturdikṣu āyakāḥ kartavyāḥ | ayam eṣu	arTaH | yatas prakIrNake uktam | catur-dikzu AyakAH kartavyAH | ayam ezu
   buddhavigrahāḥ sthāpayitavyā | puṣpagrahaṇī kartavyeti | tatrāyakaśabdena	budDa-vigrahAH sTApayitavyA | puzpa-grahaNI kartavyA-iti | tatra-ayaka-Sabdena
   pratipālakam ucyate | puṣpagrahaṇīśabdena na ca vedikābāhyata samantato	pratipAlakam ucyate | puzpa-grahaNI-Sabdena na ca vedikA-bAhyata samantataH-
   vāpya paṃktyākāreṇa nānāsaṃsthānagṛhadvāramātre pūrvajātakapratimāṇāṃ	vApya paMkti-AkAreNa nAnA-saMsTAna-gRha-dvAra-mAtre pUrva-jAtaka-pratimANAm
   racaneti ||	racanA-iti ||
   Slkv §16 adhaś catuskoṇake bhāgety ādi | harmikām upādāya yo 'dhaś	Slku §16 aDas catuskoNake BAga-iti Adi | harmikAm upAdAya yaH aDas-
   caturthako Slkv p. 217 bāhyakoṣṭhāṃśas tatra dhānyarāśikṛtaḥ | sarveṇaiva	caturTakaH Slku p. 217 bAhya-kozWa-aMSaH tatra DAnya-rASi-kRtaH | sarveNa-eva
   caturthakena | tribhi pādaiḥ pātrākṛti | dvābhyāṃ pādābhyāṃ khagaṇḍākṛteḥ	caturTakena | triBi pAdEH pAtra-AkRti | dvAByAm pAdAByAm Ka-gaNxa-AkRteH
   | pādaikena kalaśākārasyeti | madhyakoṣṭhapramāṇam iti	| pAda-ekena kalaSa-AkArasya-iti | maDya-kozWa-pramANam iti
   madhyakoṣṭhapramāṇādya pramāṇagatenety ādi | etad uktaṃ bhavati | tatrāpi	maDya-kozWa-pramANa-adya pramANa-gatena-iti Adi | etat uktam Bavati | tatra-api
   bhāgavibhāgena dhānyarāśy ākṛteḥ || madhyakoṣṭhapramāṇena tisro vedyaḥ	BAga-viBAgena DAnya-rASi AkRteH || maDya-kozWa-pramANena tisraH vedyaH
   kāryāḥ pariśiṣṭānāṃ tu yathā pratyanusāreneti | caturthī biṃbapaśyageti	kAryAH pariSizwAnAm tu yaTA pratyanusArena-iti | caturTI biMba-paSyaga-iti
   kumbhaparigrahānurodhenety arthaḥ | etad uktaṃ bhavati | adhaś caturthake	kumBa-parigraha-anuroDena-iti arTaH | etat uktam Bavati | aDas caturTake
   bhāge kṛtānāṃ tisrāṇāṃ vedīnāṃ yāvantām apramāṇaṃ | caturthī jaṃghāvedī	BAge kRtAnAm tisrANAm vedInAm yAvantAm apramANam | caturTI jaMGAvedI
   catuṣkoṣṭhāpi kumbhasaṃsthāneṣv ity arthaḥ | yathaḥ prakīrṇake uktaṃ |	catuzkozWA-api kumBa-saMsTAnezu iti arTaH | yaTaH prakIrNake uktam |
   jaṃghāpuṭavedī kukṣitavyeti | jaṃghāyāḥ puṭavedī jaṃghāpuṭavedīti |	jaMGApuwa-vedI kukzitavyA-iti | jaMGAyAH puwa-vedI jaMGA-puwa-vedI-iti |
   jaṃghāsaṃbandhinī vā puṭāvedī kumbhasya padmavalitam ity arthaḥ |	jaMGA-saMbanDinI vA puwa-AvedI kumBasya padma-valitam iti arTaH |
   Slkv §17 bāhyakoṣṭhaṣaḍāyāmety ādi | ṣaṇṇāṃ bāhyakoṣṭhānāṃ yo vistāras tad	Slku §17 bAhya-kozWa-zaz-AyAma-iti Adi | zaNNAm bAhya-kozWAnAm yaH vistAraH tat-
   āyāmānāṃ tad dairghyām adhovedī kuryāt | atha bāhyakoṣṭhena vedikā ukteti	AyAmAnAm tat dErGyAm aDovedI kuryAt | aTa bAhya-kozWena vedikA uktA-iti
   ṣaṭsaṃkhyaparicchinna-āyāmo yasyā vedyaḥ sābāhyakoṣṭha ṣaḍāyāmamātrām	zaz-saMKya-paricCinna-AyAmaH yasyAH vedyaH sAbAhya-kozWa zaz-AyAma-mAtrAm
   adhovedīṃ kalpayet | yataḥ prakīrṇake yojanam uccasya krośamātrāvedīm	aDovedIm kalpayet | yatas prakIrNake yojanam uccasya kroSa-mAtrA-vedIm
   ukteti | tad anyānukramakṣīṇām iti | adhovedyāyāmād upari vartinyaḥ tisro	uktA-iti | tat anya-anukrama-kzINAm iti | aDas-vedya-AyAmAt upari vartinyaH tisraH-
   vedyaḥ | tāny anukrameṇa madhyakoṣṭhapramāṇena kuryāt | athavā catasraḥ	vedyaH | tAni anukrameNa maDya-kozWa-pramANena kuryAt | aTavA catasraH
   pariṣaṇṇāḥ kartavyā iti vacanāt || merupariṣaṇḍavat | ardhardhonnati Slkv	parizaNNAH kartavyA iti vacanAt || meru-parizaNxa-vat | arDarDa-unnati Slkv
   p. 218 kṣīṇañ ca kalpayet | evaṃ tāvad bhūṅ gata stūpam ākhyāyādhunā	p. 218 kzINan ca kalpayet | evam tAvat BUj gata stUpam AKyAya-aDunA
   bhūmimarjane stūpaṃ kṛtaṃ | bhuvas tu kalpanācalād evety arthaḥ |	BUmi-marjane stUpam kRtam | BuvaH tu kalpanA-acalAt eva-iti arTaH |
   sthairyapuṣṭikaraṃ kila bhavatīti | ato bhūmyā nimarjanena kāraṇāyāyan	sTErya-puzwi-karam kila Bavati-iti | atas BUmyAH nimarjanena kAraNAyAyan
   darśayann āha | vetsyādiśu samaṃ | idan tu nimarjane nimarjanārthaṃ bhūmau	darSayan Aha | vetsya-AdiSu samam | idan tu nimarjane nimarjana-arTam BUmO
   stūpasya bhavatu unmānato kṣayo vedikānāṃ vistāras tu kim arthaṃ |	stUpasya Bavatu unmAnataH kzayaH vedikAnAm vistAraH tu kim arTam |
   stūpasyoccatvena samīkaraṇārthaṃ | yata stūpāyāmatulyo hy adho vedyā	stUpasya-ucca-tvena samIkaraNa-arTam | yata stu-upAyAma-tulyaH hi aDas vedyA
