   LiP, 1, 1	Li P, 1, 1
   śraddhāsādhyo 'tha rudrastu kathitaṃ brahmaṇā tadā /	SradDA sADyaH aTa rudraH tu kaTitam brahmaNA tadA /
   madhunā kaiṭabhenaiva purā hṛtagatervibhoḥ // LiP_1,2.39 //	maDunA kEwaBena eva purA hRta gateH viBoH // LiS _1,2.39 //
   brahmaṇaḥ paramaṃ jñānam ādātuṃ mīnatā hareḥ /	brahmaNaH paramam jQAnam AdAtum mIna tA hareH /
   sarvāvasthāsu viṣṇoś ca jananaṃ līlayaiva tu // LiP_1,2.40 //	sarva avasTAsu vizNoH ca jananam lIlayA eva tu // LiS _1,2.40 //
   rudraprasādādviṣṇoś ca jiṣṇoścaiva tu sambhavaḥ /	rudra prasAdAt vizNoH ca jizNoH ca eva tu samBavaH /
   manthānadhāraṇārthāya hareḥ kūrmatvamevaca // LiP_1,2.41 //	manTAna DAraNa arTAya hareH kUrma tvam eva ca // LiS _1,2.41 //
   saṃkarṣaṇasya cotpattiḥ kauśikyāś ca punarbhavaḥ /	saMkarzaNasya ca utpattiH kOSikyAH ca punarBavaH /
   yadūnāṃ caiva sambhūtir yādavatvaṃ hareḥ svayam // LiP_1,2.42 //	yadUnAm ca eva samBUtiH yAdava tvam hareH svayam // LiS _1,2.42 //
   bhojarājasya daurātmyaṃ mātulasya harervibhoḥ /	Boja rAjasya dOrAtmyam mAtulasya hareH viBoH /
   bālabhāve hareḥ krīḍā putrārthaṃ śaṃkarārcanam // LiP_1,2.43 //	bAla BAve hareH krIxA putra arTam SaMkara arcanam // LiS _1,2.43 //
   nārasya ca tathotpattiḥ kapāle vaiṣṇavāddharāt /	nArasya ca taTA utpattiH kapAle vEzNavAt harAt /
   bhūbhāranigrahārthe tu rudrasyārādhanaṃ hareḥ // LiP_1,2.44 //	BU BAra nigraha arTe tu rudrasya ArADanam hareH // LiS _1,2.44 //
   vainyena pṛthunā bhūmeḥ purā dohapravartanam /	vEnyena pRTunA BUmeH purA doha pravartanam /
   devāsure purā labdho bhṛguśāpaś ca viṣṇunā // LiP_1,2.45 //	devAsure purA labDaH BRguSApaH ca vizNunA // LiS _1,2.45 //
   kṛṣṇatve dvārakāyāṃ tu nilayo mādhavasya tu /	kRzNa tve dvArakAyAm tu nilayaH mADavasya tu /
   labdho hitāya śāpastu durvāsasyānanāddhareḥ // LiP_1,2.46 //	labDaH hitAya SApaH tu durvAsasya AnanAt hareH // LiS _1,2.46 //
   vṛṣṇyandhakavināśāya śāpaḥ piṇḍāravāsinām /	vRzNi anDaka vinASAya SApaH piNxAra vAsinAm /
   erakasya tathotpattis tomarasyodbhavas tathā // LiP_1,2.47 //	erakasya taTA utpattiH tomarasya udBavaH taTA // LiS _1,2.47 //
   erakālābhato 'nyonyaṃ vivāde vṛṣṇivigrahaḥ /	erakA lABataH anyonyam vivAde vRzNi vigrahaH /
   līlayā caiva kṛṣṇena svakulasya ca saṃhṛtiḥ // LiP_1,2.48 //	lIlayA ca eva kRzNena sva kulasya ca saMhRtiH // LiS _1,2.48 //
   erakāstrabalenaiva gamanaṃ svecchayaiva tu /	eraka astra balena eva gamanam sva icCayA eva tu /
   brahmaṇaścaiva mokṣasya vijñānaṃ tu suvistaram // LiP_1,2.49 //	brahmaNaH ca eva mokzasya vijQAnam tu su vistaram // LiS _1,2.49 //
   purāndhakāgnidakṣāṇāṃ śakrebhamṛgarūpiṇām /	purA anDaka agni dakzANAm Sakra iBa mRga rUpiNAm /
   madanasyādidevasya brahmaṇaś cāmarāriṇām // LiP_1,2.50 //	madanasya Adidevasya brahmaNaH ca amara ariNAm // LiS _1,2.50 //
   halāhalasya daityasya kṛtāvajñā pinākinā /	halAhalasya dEtyasya kRta avajQA pinAkinA /
   jālaṃdharavadhaścaiva sudarśanasamudbhavaḥ // LiP_1,2.51 //	jAlaMDara vaDaH ca eva sudarSana samudBavaH // LiS _1,2.51 //
   viṣṇorvarāyudhāvāptis tathā rudrasya ceṣṭitam /	vizNoH vara AyuDa avAptiH taTA rudrasya cezwitam /
   tathānyāni ca rudrasya caritāni sahasraśaḥ // LiP_1,2.52 //	taTA anyAni ca rudrasya caritAni sahasraSas // LiS _1,2.52 //
   hareḥ pitāmahasyātha śakrasya ca mahātmanaḥ /	hareH pitAmahasya aTa Sakrasya ca mahAtmanaH /
   prabhāvānubhavaścaiva śivalokasya varṇanam // LiP_1,2.53 //	praBAva anuBavaH ca eva Siva lokasya varNanam // LiS _1,2.53 //
   bhūmau rudrasya lokaṃ ca pātāle hāṭakeśvaram /	BUmO rudrasya lokam ca pAtAle hAwakeSvaram /
   tapasāṃ lakṣaṇaṃ caiva dvijānāṃ vaibhavaṃ tathā // LiP_1,2.54 //	tapasAm lakzaNam ca eva dvijAnAm vEBavam taTA // LiS _1,2.54 //
   ādhikyaṃ sarvamūrtīnāṃ liṅgamūrterviśeṣataḥ /	ADikyam sarva mUrtInAm liFga mUrteH viSezataH /
   liṅge 'sminnānupūrvyeṇa vistareṇānukīrtyate // LiP_1,2.55 //	liFge asmin= AnupUrvyeNa vistareNa anukIrtyate // LiS _1,2.55 //
   etajjñātvā purāṇasya saṃkṣepaṃ kīrtayettu yaḥ /	etat jQAtvA purANasya saMkzepam kIrtayet tu yaH /
   sarvapāpavinirmukto brahmalokaṃ sa gacchati // LiP_1,2.56 //	sarva pApa vinirmuktaH brahma lokam sa gacCati // LiS _1,2.56 //
   LiP, 1, 3	Li P, 1, 3
   sūta uvāca	sUtaH uvAca
   aliṅgo liṅgamūlaṃ tu avyaktaṃ liṅgamucyate /	aliFgaH liFga mUlam tu avyaktam liFgam ucyate /
   aliṅgaḥ śiva ityukto liṅgaṃ śaivamiti smṛtam // LiP_1,3.1 //	aliFgaH SivaH iti uktaH liFgam SEvam iti smRtam // LiS _1,3.1 //
   pradhānaṃ prakṛtiśceti yadāhurliṅgamuttamam /	praDAnam prakRtiH ca iti yat AhuH liFgam uttamam /
   gandhavarṇarasairhīnaṃ śabdasparśādivarjitam // LiP_1,3.2 //	ganDa varNa rasEH hInam Sabda sparSa Adi varjitam // LiS _1,3.2 //
   aguṇaṃ dhruvamakṣayyam aliṅgaṃ śivalakṣaṇam /	aguNam Druvam akzayyam aliFgam Siva lakzaNam /
   gandhavarṇarasairyuktaṃ śabdasparśādilakṣaṇam // LiP_1,3.3 //	ganDa varNa rasEH yuktam Sabda sparSa Adi lakzaNam // LiS _1,3.3 //
   jagadyoniṃ mahābhūtaṃ sthūlaṃ sūkṣmaṃ dvijottamāḥ /	jagadyonim mahABUtam sTUlam sUkzmam dvijottamAH /
   vigraho jagatāṃ liṅgam aliṅgād abhavatsvayam // LiP_1,3.4 //	vigrahaH jagatAm liFgam aliFgAt aBavat svayam // LiS _1,3.4 //
   saptadhācāṣṭadhā caiva tathaikādaśadhā punaḥ /	saptaDAca azwaDA ca eva taTA ekAdaSaDA punar /
   liṅgānyaliṅgasya tathā māyayā vitatāni tu // LiP_1,3.5 //	liFgAni aliFgasya taTA mAyayA vitatAni tu // LiS _1,3.5 //
   tebhyaḥ pradhānadevānāṃ trayamāsīcchivātmakam /	teByaH praDAna devAnAm trayam AsIt Siva Atmakam /
   ekasmāttriṣvabhūdviśvam ekena parirakṣitam // LiP_1,3.6 //	ekasmAt trizu aBUt viSvam ekena parirakzitam // LiS _1,3.6 //
   ekenaiva hṛtaṃ viśvaṃ vyāptaṃ tvevaṃ śivena tu /	ekena eva hRtam viSvam vyAptam tu evam Sivena tu /
   aliṅgaṃ caiva liṅgaṃ ca liṅgāliṅgāni mūrtayaḥ // LiP_1,3.7 //	aliFgam ca eva liFgam ca liFga aliFgAni mUrtayaH // LiS _1,3.7 //
   yathāvatkathitāścaiva tasmādbrahma svayaṃ jagat /	yaTAvat kaTitAH ca eva tasmAt brahma svayam jagat /
   aliṅgī bhagavān bījī sa eva parameśvaraḥ // LiP_1,3.8 //	aliFgI BagavAn bIjI saH eva parameSvaraH // LiS _1,3.8 //
   bījaṃ yoniś ca nirbījaṃ nirbījo bījamucyate /	bIjam yoniH ca nirbIjam nirbIjaH bIjam ucyate /
   bījayonipradhānānām ātmākhyā vartate tviha // LiP_1,3.9 //	bIja yoni praDAnAnAm AtmA AKyA vartate tu iha // LiS _1,3.9 //
   paramātmā munirbrahma nityabuddhasvabhāvataḥ /	paramAtmA muniH brahma nitya budDa svaBAvataH /
   viśuddho 'yaṃ tathā rudraḥ purāṇe śiva ucyate // LiP_1,3.10 //	viSudDaH ayam taTA rudraH purANe SivaH ucyate // LiS _1,3.10 //
