   Ratnāvalī / (NRa)	Ratna AvalI / (NRa)
   manasā karmaṇā vācā dharmo 'yaṃ dvividhaḥ smṛtaḥ // NRa_1.22 //	manasA karmaNA vAcA DarmaH ayam dviviDaH smRtaH // NRaH _1.22 //
   narakapretatiryagbhyo dharmādasmādvimucyate /	naraka preta tiryagByaH DarmAt asmAt vimucyate /
   nṛṣu deveṣu cāpnoti sukhaśrirājyavistarān // NRa_1.23 //	nRzu devezu ca Apnoti suKa Sri rAjya vistarAn // NRe _1.23 //
   (Vaidya 298)	(VEdyaH 298)
   dhyānāpramāṇārūpyaistu brahmādyasukhamaśnute /	DyAna apramANA rUpyEH tu brahma Adya suKam aSnute /
   ityabhyudayadharmo 'yaṃ phalaṃ cāsya samāsataḥ // NRa_1.24 //	iti aByudaya DarmaH ayam Palam ca asya samAsatas // NRaH _1.24 //
   naiḥśreyasaḥ punardharmaḥ sūkṣmo gambhīradarśanaḥ /	nEHSreyasaH punar DarmaH sUkzmaH gamBIra darSanaH /
   bālānāṃ[aśrotravatām] uktastrāsakaro jinaiḥ // NRa_1.25 //	bAlAnAM[a SrotravatAm] uktaH trAsa karaH jinEH // NRaH _1.25 //
   nāsmyahaṃ na bhaviṣyāmi na me 'sti na bhaviṣyati /	na asmi aham na BavizyAmi na me asti na Bavizyati /
   iti bālasya saṃtrāsaḥ paṇḍitasya bhayakṣayaḥ // NRa_1.26 //	iti bAlasya saMtrAsaH paNxitasya Baya kzayaH // NRaH _1.26 //
   ahaṃkaraprasūteyaṃ mamakāropasaṃhitā /	ahaMkara prasUtA iyam mamakAra upasaMhitA /
   prajā prajāhitaikāntavādinābhihitākhilā // NRa_1.27 //	prajA prajA hita ekAnta vAdinA aBihita aKilAH // NRaH _1.27 //
   astyahaṃ mama cāstīti mithyaitatparamārthibhiḥ /	asti aham mama ca asti iti miTyA etat parama arTiBiH /
   yathābhūtaparijñānānna bhavatyubhayaṃ yataḥ // NRa_1.28 //	yaTABUta parijQAnAt na Bavati uBayam yatas // NRaH _1.28 //
   ahaṃkārodbhavāḥ skandhāḥ so 'haṃkāro 'nṛto 'rthataḥ /	ahaMkAra udBavAH skanDAH saH ahaMkAraH anRtaH arTataH /
   bījaṃ yasyānṛtaṃ tasya prarohaḥ satyataḥ kutaḥ // NRa_1.29 //	bIjam yasya anRtam tasya prarohaH satyataH kutas // NRaH _1.29 //
   skandhānasatyān dṛṣṭvaivamahaṃkāraḥ prahīyate /	skanDAn asatyAn dRzwvA evam ahaMkAraH prahIyate /
   ahaṃkāraprahāṇācca na punaḥ skandhasaṃbhavaḥ // NRa_1.30 //	ahaMkAra prahANAt ca na punar skanDa saMBavaH // NRaH _1.30 //
   yathādarśamupādāya(svamukhapratibimbakam /	yaTA AdarSam upAdAya( sva muKa pratibimbakam /
   dṛśya) te nāma taccaivaṃ na kiṃcidapi tattvataḥ // NRa_1.31 //	dRSya) te nAma tat ca evam na kiMcid api tattvataH // NRaH _1.31 //
   ahaṃkārastathā skandhānupādāyopalabhyate /	ahaMkAraH taTA skanDAn upAdAya upalaByate /
   na ca kaścitsa tattvena svamukhapratibimbavat // NRa_1.32 //	na ca kaScid sa tattvena sva muKa pratibimba vat // NRe _1.32 //
   yathādarśamanādāya svamukhapratibimbakam /	yaTA AdarSam anAdAya sva muKa pratibimbakam /
   na dṛśyate tathā skandhānanādāyāhamityapi // NRa_1.33 //	na dRSyate taTA skanDa AnanAdAya aham iti api // NRaH _1.33 //
   evaṃvidhārthaśravaṇāddharmacakṣuravāptavān /	evaMviDa arTa SravaNAt Darma cakzuH avAptavAn /
   āryānandaḥ svayaṃ caiva bhikṣubhyo 'bhīkṣṇamuktavān // NRa_1.34 //	Arya AnandaH svayam ca eva BikzuByaH aBIkzNam uktavAn // NRaH _1.34 //
   skandhagrāho yāvadasti tāvadevāhamityapi /	skanDa grAhaH yAvat asti tAvat eva aham iti api /
   ahaṃkāre sati punaḥ karma janma tataḥ punaḥ // NRa_1.35 //	ahaMkAre sati punar karma janma tatas punar // NRe _1.35 //
   trivartmaitadanādyantamadhyaṃ saṃsāramaṇḍalam /	tri vartmA etat anAdi anta maDyam saMsAra maNxalam /
   alātamaṇḍalaprakhyaṃ bhramatyanyonyahetukam // NRa_1.36 //	alAta maNxala praKyam Bramati anyonya hetukam // NRaH _1.36 //
   svaparobhayatastasya traikālyato 'pyaprāptitaḥ /	sva para uBayataH tasya trEkAlyataH api aprAptitaH /
   ahaṃkāraḥ kṣayaṃ yāti tataḥ karma ca janma ca // NRa_1.37 //	ahaMkAraH kzayam yAti tatas karma ca janma ca // NRe _1.37 //
   evaṃ hetuphalotpādaṃ paśyaṃstatkṣayameva ca /	evam hetu Pala utpAdam paSyan= tad kzayam eva ca /
   nāstitāmastitāṃ caiva naiti lokasya tattvataḥ // NRa_1.38 //	na astitAmastitAm ca eva na eti lokasya tattvataH // NRaH _1.38 //
   (Vaidya 299)	(VEdyaH 299)
   sarvaduḥkhakṣayaṃ dhama śrutvaivamaparīkṣakaḥ /	sarva duHKa kzayam Dama SrutvA evam aparIkzakaH /
   saṃkampatyaparijñānādabhayasthānakātaraḥ // NRa_1.39 //	saMkampati aparijQAnAt aBaya sTAna kAtaraH // NRaH _1.39 //
   na bhaviṣyati nirvāṇe sarvametanna te bhayam /	na Bavizyati nirvANe sarvam etat na te Bayam /
   ucyamāna ihābhāvastasya te kiṃ bhayaṃkaraḥ // NRa_1.40 //	ucyamAnaH iha aBAvaH tasya te kim BayaMkaraH // NRaH _1.40 //
   mokṣe nātmā na ca skandhā mokṣaścedīdṛśaḥ priyaḥ /	mokze na AtmA na ca skanDAH mokzaH ced IdRSaH priyaH /
   ātmaskandhāpanayanaṃ kimihaiva tavāpriyam // NRa_1.41 //	Atma skanDa apanayanam kim iha eva tava apriyam // NRaH _1.41 //
   na cābhāvo 'pi nirvānaṃ kuta eva tasya[vāsya] bhāvatā /	na ca aBAvaH api nirvAnam kutas eva tasya[vAsya] BAvatA /
   bhāvābhāvaparāmarśakṣayo nirvāṇamucyate // NRa_1.42 //	BAva aBAva parAmarSa kzayaH nirvANam ucyate // NRaH _1.42 //
   samāsānnāstitādṛṣṭiḥ phalaṃ nāstīti karmaṇaḥ /	samAsAt na astitA dRzwiH Palam na asti iti karmaNaH /
   apuṇyāpāyīkī caiṣā mithyādṛṣṭiriti smṛtā // NRa_1.43 //	apuNya apAyIkI ca ezA miTyAdRzwiH iti smRtAH // NRaH _1.43 //
   samāsādastitādṛṣṭiḥ phalaṃ cāstīti karmaṇām /	samAsAdastita adRzwiH Palam ca asti iti karmaNAm /
   puṇyā sugatiniṣyandā samyagdṛṣṭiriti smṛtā // NRa_1.44 //	puNyA su gati nizyandA samyak dRzwiH iti smRtAH // NRaH _1.44 //
   jñāne nāstyastitāśānteḥ pāpapuṇyavyatikramaḥ /	jQAne nAsti astita aSAnteH pApa puNya vyatikramaH /
   durgateḥ sugateścāsmāt sa mokṣaḥ sabhdirucyate // NRa_1.45 //	durgateH sugateH ca asmAt sa mokzaH saBdiH ucyate // NRaH _1.45 //
   sahetumudayaṃ paśyan nāstitāmativartate /	sa hetum udayam paSyan na astitAm ativartate /
   astitāmapi nopaiti nirodhaṃ saha hetunā // NRa_1.46 //	astitAm api na upEti niroDam saha hetunA // NRe _1.46 //
   prāgjātaḥ sahajātaśca heturahetuko 'rthataḥ /	prAc jAtaH sahajAtaH ca hetuH ahetukaH arTataH /
   prajñapterapratītatvādutpatteścaiva tattvataḥ // NRa_1.47 //	prajQapteH apratIta tvAt utpatteH ca eva tattvataH // NRaH _1.47 //
   asmin satīdaṃ bhavati dīrghe hrasvaṃ yathā sati /	asmin sati idam Bavati dIrGe hrasvam yaTA sati /
   [tasyotpādādudetīdaṃ dīpotpādādyathā] prabhā // NRa_1.48 //	[tasya utpAdAt udeti idam dIpa utpAdAt yaTA] praBA // NRe _1.48 //
   hrasve 'sati punardīrghaṃ na bhavati svabhāvataḥ /	hrasve asati punar dIrGam na Bavati svaBAvataH /
   pradīpasyāpyanutpādātprabhāyā apyasaṃbhavaḥ // NRa_1.49 //	pradIpasya api anutpAdAt praBAyAH api asaMBavaH // NRaH _1.49 //
   evaṃ hetuphalotpādaṃ dṛṣṭvā nopaiti nāstikyam(nāstitām) /	evam hetu Pala utpAdam dRzwvA na upEti nAstikyam(na astitAm) /
   abhyupetyāsya lokasya yāthābhūtyaṃ prapañcajam // NRa_1.50 //	aByupetya asya lokasya yATA BUtyam prapaQca jam // NRaH _1.50 //
   nirodhaṃ ca prapañcotthaṃ yāthābhūtyādupāgataḥ /	niroDam ca prapaQca utTam yATA BUtyAt upAgataH /
   nopayātyastitāṃ tasmānmucyate 'dvayaniścitaḥ // NRa_1.51 //	na upayAti astitAm tasmAt mucyate advaya niScitaH // NRaH _1.51 //
   dūrādālokitaṃ rūpamāsannairdṛśyate sphuṭam /	dUrAt Alokitam rUpam AsannEH dRSyate sPuwam /
   marīciryadi vāri syādāsannaiḥ kiṃ na dṛśyate // NRa_1.52 //	marIciH yadi vAri syAt AsannEH kim na dRSyate // NRaH _1.52 //
   dūrībhūtairyathābhūto loko 'yaṃ dṛśayate tathā /	dUrIBUtEH yaTABUtaH lokaH ayam dRSayate taTA /
   na dṛśyate tadāsannairanimitto marīcivat // NRa_1.53 //	na dRSyate tad AsannEH animittaH marIci vat // NRe _1.53 //
   [marīcistoyasadṛśī yathā nāmbu na] cārthataḥ /	[marIciH toya sadRSI yaTA na ambu na] ca arTataH /
   skandhāstathātmasadṛśā nātmāno nāpi te 'rthataḥ // NRa_1.54 //	skanDAH taTA Atma sadRSAH na AtmAnaH na api te arTataH // NRaH _1.54 //
   (Vaidya 300)	(VEdyaH 300)
   marīcīṃ toyamityetaditi matvāgato 'tra san /	marIcIm toyam iti etat iti matvA AgataH atra san /
   yadi nāstīti tattoyaṃ [gṛṇhīyānmūḍha eva saḥ // NRa_1.55 //	yadi na asti iti tat toyam [gRNhIyAt mUXaH eva saH // NRaH _1.55 //
   marīcipratimaṃ lokamevamastīti gṛṇhataḥ /	marIci pratimam lokam evam asti iti gRNhataH /
   nāstīti cāpi moho 'yaṃ sati mohe na mucyate // NRa_1.56 //	na asti iti ca api mohaH ayam sati mohe na mucyate // NRaH _1.56 //
   nāstiko durgatiṃ yātiṃ sugatiṃ yati cāstikaḥ /	nAstikaH durgatim yAtim sugatim yati ca AstikaH /
   yathābhūtaparijñānānmokṣamadvayaniśritaḥ // NRa_1.57 //	yaTABUta parijQAnAt mokzam advaya niSritaH // NRaH _1.57 //
   anicchan nāstitāstitve yathābhūtaparijñayā /	anicCan nAstita astitve yaTABUta parijQayA /
   nāstitāṃ labhate mohāt kasmānna labhate 'stitām // NRa_1.58 //	na astitAm laBate mohAt kasmAt na laBate astitAm // NRe _1.58 //
   syādastidūṣaṇādasya nāstitākṣipyate 'rthataḥ /	syAt astidUzaNAt asya na astita Akzipyate arTataH /
   nāstitādūṣaṇādeva kasmānnākṣipyate 'stitā // NRa_1.59 //	na astitA t UzaNAt eva kasmAt na Akzipyate astitAH // NRaH _1.59 //
   na pratijñā na caritaṃ na cittaṃ bodhiniśrayāt /	na pratijQA na caritam na cittam boDi niSrayAt /
   nāstikatve 'rthato yeṣāṃ kathaṃ te nāstikāḥ smṛtāḥ // NRa_1.60 //	nAstika tve arTataH yezAm kaTam te nAstikAH smRtAH // NRaH _1.60 //
   sasāṃkhyaulūkyanirgranthapugdalaskandhavādinam /	sa sAMKyOlUkya nirgranTa pugdala skanDa vAdinam /
   pṛccha lokaṃ yadi vadatyastināstivyatikramam // NRa_1.61 //	pRcCa lokam yadi vadati astinAsti vyatikramam // NRaH _1.61 //
   dharmayautakamityasmānnāstyastitvavyatikramam /	DarmayOtakam iti asmAt na asti astitva vyatikramam /
   viddhi gambhīramityuktaṃ buddhānāṃ śāsanāmṛtam // NRa_1.62 //	vidDi gamBIram iti uktam budDAnAm SAsana amRtam // NRaH _1.62 //
   vibhavaṃ naiti nāyāti na tiṣṭhatyapi ca kṣaṇam /	viBavam na eti na AyAti na tizWati api ca kzaNam /
   traikālyavyativṛttātmā loka eva kuto 'rthataḥ // NRa_1.63 //	trEkAlya vyativRtta AtmA loke eva kutas arTataH // NRaH _1.63 //
   dvayorapyāgatigatī prasthitiśca na tattvataḥ /	dvayoH api Agati gatI prasTitiH ca na tattvataH /
   lokaniryāṇayostasmādviśeṣaḥ ka ivārthataḥ // NRa_1.64 //	loka niryANayoH tasmAt viSezaH kaH iva arTataH // NRaH _1.64 //
   sthiterabhāvādudayo nirodhaśca na tattvataḥ /	sTiteH aBAvAt udayaH niroDaH ca na tattvataH /
   uditaśca sthitaśceti niruddhaśca kuto 'rthataḥ // NRa_1.65 //	uditaH ca sTitaH ca iti nirudDaH ca kutas arTataH // NRaH _1.65 //
   kathamakṣaṇiko bhāvaḥ pariṇāmaḥ sadā yadi /	kaTam akzaNikaH BAvaH pariNAmaH sadA yadi /
   nāsti cetpariṇāmaḥ syādanyathātvaṃ kuto 'rthataḥ // NRa_1.66 //	na asti ced pariNAmaH syAt anyaTAtvam kutas arTataH // NRaH _1.66 //
   ekadeśe kṣayādvā syāt kṣaṇikaṃ sarvaśo 'pi vā /	eka deSe kzayAt vA syAt kzaNikam sarvaSas api vA /
   vaiṣamyānupalabdheśca dvidhāpyetadayuktimat // NRa_1.67 //	vEzamya anupalabDeH ca dviDA api etat ayuktimat // NRaH _1.67 //
   kṣaṇike sarvathā bhāve kutaḥ kācitpurāṇatā /	kzaNike sarvaTA BAve kutas kAcid purANa tA /
   sthairyādakṣaṇike cāpi kutaḥ kācitpurāṇatā // NRa_1.68 //	sTEryAt akzaNike ca api kutas kAcid purANa tA // NRaH _1.68 //
   yathānto 'sti kṣaṇasyaivamādirmadhyaṃ ca kalpyatām /	yaTA antaH asti kzaNasya evam AdiH maDyam ca kalpyatAm /
   tryātmakatvāt kṣaṇasyaivaṃ na lokasya kṣaṇaṃ sthitiḥ // NRa_1.69 //	tri Atmaka tvAt kzaNasya evam na lokasya kzaNam sTitiH // NRaH _1.69 //
   (Vaidya 301)	(VEdyaH 301)
   ādimadhyāvasānāni[cintyāni kṣaṇavatpunaḥ /	Adi maDya avasAnAni[cintyAni kzaNa vat punar /
   ādimadhyā] vasānatvaṃ na svataḥ parato 'pi vā // NRa_1.70 //	Adi maDyA] vasAna tvam na svatas paratas api vA // NRaH _1.70 //
   naiko 'nekapradeśatvānnāpradeśaśca kaścan /	na ekaH aneka pradeSa tvAt na apradeSaH ca kaScan /
   vinaikamapi nāneko nāstitvamapi cāstitām // NRa_1.71 //	vinA ekam api na anekaH na astitvam api ca astitAm // NRe _1.71 //
   vināśāt pratipakṣādvā syādastitvasya nāstitā /	vinASAt pratipakzAt vA syAt astitvasya na astitAH /
   vināśaḥ pratipakṣo vā kathaṃ syādastyasaṃbhavāt // NRa_1.72 //	vinASaH pratipakzaH vA kaTam syAt asti asaMBavAt // NRe _1.72 //
   nirvṛtestena lokasya nopaityūnatvamarthataḥ /	nirvRteH tena lokasya na upEtyUna tvam arTataH /
   antavāniti lokaśca pṛṣṭastūṣṇīṃ jino 'bhavat // NRa_1.73 //	antavAn iti lokaH ca pRzwaH tUzNIm jinaH aBavat // NRaH _1.73 //
   sarvajña iti sarvajño budhaistenaiva gamyate /	sarvajQaH iti sarvajQaH buDEH tena eva gamyate /
   yenaitaddharmagāmbhīryaṃ novācābhajane loke // NRa_1.74 //	yena etat Darma gAmBIryam na uvAca ABajane loke // NRaH _1.74 //
   iti naiḥśreyaso dharmo gambhīro niṣparigrahaḥ /	iti nEHSreyasaH DarmaH gamBIraH nizparigrahaH /
   anālaya iti proktaḥ saṃbuddhaistatvadarśibhiḥ // NRa_1.75 //	anAlayaH iti proktaH saMbudDEH tatva darSiBiH // NRaH _1.75 //
   asmādanālayāddharmādāyalayābhiratā janāḥ /	asmAt anAlayAt Darma AdAyalayA aBiratAH janAH /
   astināstyavyatikrāntā bhītā naśyantyamedhasaḥ // NRa_1.76 //	astinA asti avyatikrAntAH BItAH naSyanti ameDasaH // NRaH _1.76 //
   te naṣṭā nāśayantyanyānabhayasthānabhīravaḥ /	te nazwAH nASayanti anyAna Baya sTAna BIravaH /
   tathā kuru yathā rājān naṣṭairna vipraṇāśyase // NRa_1.77 //	taTA kuru yaTA rAjAn nazwEH na vipraNASyase // NRaH _1.77 //
   kadalī pāṭitā yadvanniḥśeṣāvayavaiḥ saha /	kadalI pAwitA yadvat niHSeza avayavEH saha /
   na kiṃcitpuruṣastadvatpāṭitaḥ saha dhātubhiḥ // NRa_2.1 //	na kiMcid puruzaH tadvat pAwitaH saha DAtuBiH // NRaH _2.1 //
   sarvadharmā anātmāna ityato bhāṣitaṃ jinaiḥ /	sarva DarmAH anAtmAnaH iti atas BAzitam jinEH /
   dhātuṣaṭkaṃ ca taiḥ sarvaṃ nirṇitaṃ tacca nārthataḥ // NRa_2.2 //	DAtu zawkam ca tEH sarvam nirNitam tat ca na arTataH // NRaH _2.2 //
   naivamātmā na cānātmā yāthābhūtyena labhyate /	na evam AtmA na ca anAtmA yATA BUtyena laByate /
   ātmānātmakṛte dṛṣṭī vavārāsmānmahāmuniḥ // NRa_2.3 //	AtmAnAtma kRte dRzwI vavAra asmAn mahA muniH // NRaH _2.3 //
   dṛṣṭaśrutādyaṃ muninā na satyaṃ na mṛṣoditam /	dRzwa Sruta Adyam muninA na satyam na mRzA uditam /
   pakṣāddhi pratipakṣaḥ syādubhayaṃ tacca nārthataḥ // NRa_2.4 //	pakzAt hi pratipakzaH syAt uBayam tat ca na arTataH // NRaH _2.4 //
   iti satyānṛtātīto loko 'yaṃ paramārthataḥ /	iti satya anRta atItaH lokaH ayam paramArTataH /
   asmādeva ca tattvena nopaityasti ca nāsti ca // NRa_2.5 //	asmAt eva ca tattvena na upEti asti ca na asti ca // NRaH _2.5 //
   yaccaivaṃ sarvathā neti sarvajñastatkathaṃ vadet /	yat ca evam sarvaTA na iti sarvajQaH tat kaTam vadet /
   sāntamityathavānantaṃ dvayaṃ vādvayameva vā // NRa_2.6 //	sa antam iti aTavA anantam dvayam vA adu ayam eva vA // NRaH _2.6 //
   asaṃkhyeyā gatā buddhāstathaiṣyantyatha sāṃpratāḥ /	asaMKyeyAH gatAH budDAH taTA ezyanti aTa sAMpratAH /
   koṭyagraśaśca sattvāntastebhyastraikālyajo mataḥ // NRa_2.7 //	kowi agraSas ca sattva antaH teByaH trEkAlya jaH mataH // NRaH _2.7 //
   vṛddhiheturna lokasya kṣayastrikālyasaṃbhavaḥ /	vRdDi hetuH na lokasya kzayaH tri kAlya saMBavaH /
   sarvajñena kathaṃ tasya pūrvānto 'vyākṛtaḥ kṛtaḥ // NRa_2.8 //	sarvajQena kaTam tasya pUrva antaH avyAkRtaH kRtaH // NRaH _2.8 //
   (Vaidya 302)	(VEdyaH 302)
   etattu dharmagāmbhīya yattadguhyaṃ pṛthagjane /	etat tu Darma gAmBIya yat tat guhyam pRTagjane /
   māyopamatvaṃ lokasya buddhānāṃ śāsanāmṛtam // NRa_2.9 //	mAyA upama tvam lokasya budDAnAm SAsana amRtam // NRaH _2.9 //
   māyāgajasya dṛśyeta yathā janmānta eva ca /	mAyA gajasya dRSyeta yaTA janma ante eva ca /
   na ca kaścitsa tattvena janmāntaścaiva vidyate // NRa_2.10 //	na ca kaScid sa tattvena janmAntaH ca eva vidyate // NRaH _2.10 //
   māyopamasya lokasya tathā janmānta eva ca /	mAyA upamasya lokasya taTA janma ante eva ca /
   dṛśyate paramārthena na ca janmānta eva ca // NRa_2.11 //	dRSyate parama arTena na ca janma ante eva ca // NRe _2.11 //
   yathā māyāgajo naiti kutaścidyāti na kvacit /	yaTA mAyA gajaH na eti kutaScid yAti na kvacid /
   cittamohanamātratvādbhāvatvena na tiṣṭhati // NRa_2.12 //	citta mohana mAtra tvAt BAva tvena na tizWati // NRaH _2.12 //
   tathā māyopamo loko naiti yāti na kutracit /	taTA mAyA upamaH lokaH na eti yAti na kutracid /
   cittamohanamātratvābhdāvatvena na tiṣṭhati // NRa_2.13 //	citta mohana mAtra tva aBdAva tvena na tizWati // NRaH _2.13 //
   trakālyavyativṛttātmā loka evaṃ nu ko 'rthataḥ /	trakAlya vyativRtta AtmA loke evam nu kaH arTataH /
   yo 'sti nāstyathavāpi syādanyatra vyavahārataḥ // NRa_2.14 //	yaH asti na asti aTavA api syAt anyatra vyavahArataH // NRaH _2.14 //
   catuṣprakāramityasmāt śānto 'nanto dvayo 'dvayaḥ /	catuzprakAram iti asmAt SAntaH anantaH dvayaH advayaH /
   buddhena hetornānyasmādayamavyākṛtaḥ kṛtaḥ // NRa_2.15 //	budDena hetoH na anyasmAt ayam avyAkRtaH kRtaH // NRaH _2.15 //
   śarīrāśucitā tāvat sthūlā pratyakṣagocarā /	SarIra aSuci tA tAvat sTUlA pratyakza gocarAH /
   satataṃ dṛśyamānāpi yadā citta na tiṣṭhati // NRa_2.16 //	satatam dRSyamAnA api yadA citta na tizWati // NRaH _2.16 //
